S.No.,configuration,data_points,FTPT % ,FFPT % ,FTPF % ,FFPF % ,avg_img > 0.5
1,"fg = [2, 3, 4]","bg = [0, 1, 5, 6, 7, 8, 9]",30000,60.08,39.263333333333335,0.10333333333333333,0.5533333333333333,20823
72,fg = 4,"bg = 0,1,5",3239,68.91015745600494,30.56498919419574,0.15436863229391787,0.3704847175054029,2369
73,fg = 4,"bg = 0,1,6",3242,67.6434299814929,31.801357186921653,0.1850709438618137,0.3701418877236274,2349
74,fg = 4,"bg = 0,1,7",3264,67.83088235294117,31.67892156862745,0.15318627450980393,0.33700980392156865,2389
75,fg = 4,"bg = 0,1,8",3240,69.96913580246914,29.62962962962963,0.09259259259259259,0.30864197530864196,2421
76,fg = 4,"bg = 0,1,9",3173,69.7447210841475,29.814056098329658,0.12606366214938544,0.3151591553734636,2410
77,fg = 4,"bg = 0,5,6",3317,66.71691287307809,32.58968947844438,0.18088634308109738,0.5125113053964425,2333
78,fg = 4,"bg = 0,5,7",3308,66.92865779927449,32.46674727932285,0.15114873035066506,0.4534461910519952,2356
79,fg = 4,"bg = 0,5,8",3330,69.009009009009,30.45045045045045,0.12012012012012012,0.42042042042042044,2424
80,fg = 4,"bg = 0,5,9",3222,69.61514587212912,29.7951582867784,0.12414649286157665,0.4655493482309125,2377
81,fg = 4,"bg = 0,6,7",3272,65.83129584352078,33.49633251833741,0.18337408312958436,0.4889975550122249,2290
82,fg = 4,"bg = 0,6,8",3296,67.65776699029126,31.735436893203882,0.15169902912621358,0.4550970873786408,2348
83,fg = 4,"bg = 0,6,9",3144,67.81170483460559,31.520356234096692,0.19083969465648856,0.4770992366412214,2276
84,fg = 4,"bg = 0,7,8",3317,68.34488996080796,31.0823032861019,0.1507386192342478,0.42206813385589387,2399
85,fg = 4,"bg = 0,7,9",3217,68.51103512589368,30.92943736400373,0.12433944668946223,0.43518806341311783,2357
86,fg = 4,"bg = 0,8,9",3223,70.61743717033819,28.855103940428172,0.09308098045299411,0.43437790878063914,2404
87,fg = 4,"bg = 1,5,6",3276,66.72771672771673,32.72283272283272,0.18315018315018314,0.3663003663003663,2324
88,fg = 4,"bg = 1,5,7",3285,66.84931506849315,32.694063926940636,0.182648401826484,0.273972602739726,2372
89,fg = 4,"bg = 1,5,8",3220,68.88198757763975,30.714285714285715,0.15527950310559005,0.2484472049689441,2370
90,fg = 4,"bg = 1,5,9",3195,69.07668231611893,30.453834115805947,0.1564945226917058,0.3129890453834116,2379
91,fg = 4,"bg = 1,6,7",3329,65.93571643136077,33.52358065485131,0.18023430459597475,0.3604686091919495,2379
92,fg = 4,"bg = 1,6,8",3266,67.7893447642376,31.72075933864054,0.1224739742804654,0.3674219228413962,2365
93,fg = 4,"bg = 1,6,9",3169,68.1603029346797,31.30325023666772,0.1577784790154623,0.3786683496371095,2336
94,fg = 4,"bg = 1,7,8",3336,68.37529976019185,31.205035971223023,0.1498800959232614,0.2697841726618705,2450
95,fg = 4,"bg = 1,7,9",3264,68.50490196078431,31.066176470588236,0.12254901960784313,0.30637254901960786,2430
96,fg = 4,"bg = 1,8,9",3194,70.38196618659987,29.21102066374452,0.09392611145898559,0.31308703819661865,2419
97,fg = 4,"bg = 5,6,7",3331,65.05553887721405,34.4341038727109,0.15010507355148603,0.3602521765235665,2312
98,fg = 4,"bg = 5,6,8",3301,66.9494092699182,32.56588912450773,0.12117540139351711,0.36352620418055137,2328
99,fg = 4,"bg = 5,6,9",3196,67.2090112640801,32.22778473091364,0.15644555694618273,0.4067584480600751,2265
100,fg = 4,"bg = 5,7,8",3333,67.47674767476748,32.1032103210321,0.15001500150015,0.27002700270027,2391
101,fg = 4,"bg = 5,7,9",3268,67.62545899632804,31.946144430844555,0.09179926560587515,0.33659730722154224,2367
102,fg = 4,"bg = 5,8,9",3215,69.76671850699844,29.79782270606532,0.09331259720062209,0.3421461897356143,2360
103,fg = 4,"bg = 6,7,8",3347,66.35793247684494,33.04451747833881,0.14938751120406335,0.44816253361219,2340
104,fg = 4,"bg = 6,7,9",3237,66.48130985480383,32.90083410565338,0.15446400988569664,0.4633920296570899,2302
105,fg = 4,"bg = 6,8,9",3171,68.30652790917692,31.09429202144434,0.1261431725007884,0.47303689687795647,2275
106,fg = 4,"bg = 7,8,9",3282,69.0737355271176,30.469226081657524,0.09140767824497258,0.3656307129798903,2393
